file_name,trend,seasonal,stationary,pattern,shifting,dataset_name,type_value,train_lens,time_steps,if_univariate,size
CHX00F003FT0101/1012.csv,,,,,,Gas_CHX00F003FT0101_1012,,360,,TRUE,small
CHX00F002FT0101/1012.csv,,,,,,Gas_CHX00F002FT0101_1012,,360,,TRUE,small
CHX00F003FT0101/1006.csv,,,,,,Gas_CHX00F003FT0101_1006,,360,,TRUE,small
CHX00F002FT0101/1006.csv,,,,,,Gas_CHX00F002FT0101_1006,,360,,TRUE,small
CHX00F003FT0101/1007.csv,,,,,,Gas_CHX00F003FT0101_1007,,540,,TRUE,small
CHX00F002FT0101/1007.csv,,,,,,Gas_CHX00F002FT0101_1007,,540,,TRUE,small
CHX00F003FT0101/1013.csv,,,,,,Gas_CHX00F003FT0101_1013,,360,,TRUE,small
CHX00F002FT0101/1013.csv,,,,,,Gas_CHX00F002FT0101_1013,,360,,TRUE,small
CHX00F003FT0101/1005.csv,,,,,,Gas_CHX00F003FT0101_1005,,540,,TRUE,small
CHX00F002FT0101/1005.csv,,,,,,Gas_CHX00F002FT0101_1005,,540,,TRUE,small
CHX00F003FT0101/1011.csv,,,,,,Gas_CHX00F003FT0101_1011,,360,,TRUE,small
CHX00F002FT0101/1011.csv,,,,,,Gas_CHX00F002FT0101_1011,,360,,TRUE,small
CHX00F003FT0101/1039.csv,,,,,,Gas_CHX00F003FT0101_1039,,1200,,TRUE,small
CHX00F002FT0101/1039.csv,,,,,,Gas_CHX00F002FT0101_1039,,1200,,TRUE,small
CHX00F003FT0101/1038.csv,,,,,,Gas_CHX00F003FT0101_1038,,1200,,TRUE,small
CHX00F002FT0101/1038.csv,,,,,,Gas_CHX00F002FT0101_1038,,1200,,TRUE,small
CHX00F003FT0101/1010.csv,,,,,,Gas_CHX00F003FT0101_1010,,360,,TRUE,small
CHX00F002FT0101/1010.csv,,,,,,Gas_CHX00F002FT0101_1010,,360,,TRUE,small
CHX00F003FT0101/1004.csv,,,,,,Gas_CHX00F003FT0101_1004,,360,,TRUE,small
CHX00F002FT0101/1004.csv,,,,,,Gas_CHX00F002FT0101_1004,,360,,TRUE,small
CHX00F003FT0101/1028.csv,,,,,,Gas_CHX00F003FT0101_1028,,360,,TRUE,small
CHX00F002FT0101/1028.csv,,,,,,Gas_CHX00F002FT0101_1028,,360,,TRUE,small
CHX00F003FT0101/1014.csv,,,,,,Gas_CHX00F003FT0101_1014,,360,,TRUE,small
CHX00F002FT0101/1014.csv,,,,,,Gas_CHX00F002FT0101_1014,,360,,TRUE,small
CHX00F003FT0101/1015.csv,,,,,,Gas_CHX00F003FT0101_1015,,540,,TRUE,small
CHX00F002FT0101/1015.csv,,,,,,Gas_CHX00F002FT0101_1015,,540,,TRUE,small
CHX00F003FT0101/1001.csv,,,,,,Gas_CHX00F003FT0101_1001,,480,,TRUE,small
CHX00F002FT0101/1001.csv,,,,,,Gas_CHX00F002FT0101_1001,,480,,TRUE,small
CHX00F003FT0101/1029.csv,,,,,,Gas_CHX00F003FT0101_1029,,1020,,TRUE,small
CHX00F002FT0101/1029.csv,,,,,,Gas_CHX00F002FT0101_1029,,1020,,TRUE,small
CHX00F003FT0101/1017.csv,,,,,,Gas_CHX00F003FT0101_1017,,360,,TRUE,small
CHX00F002FT0101/1017.csv,,,,,,Gas_CHX00F002FT0101_1017,,360,,TRUE,small
CHX00F003FT0101/1003.csv,,,,,,Gas_CHX00F003FT0101_1003,,360,,TRUE,small
CHX00F002FT0101/1003.csv,,,,,,Gas_CHX00F002FT0101_1003,,360,,TRUE,small
CHX00F003FT0101/1002.csv,,,,,,Gas_CHX00F003FT0101_1002,,360,,TRUE,small
CHX00F002FT0101/1002.csv,,,,,,Gas_CHX00F002FT0101_1002,,360,,TRUE,small
CHX00F003FT0101/1016.csv,,,,,,Gas_CHX00F003FT0101_1016,,870,,TRUE,small
CHX00F002FT0101/1016.csv,,,,,,Gas_CHX00F002FT0101_1016,,870,,TRUE,small
CHX00F003FT0101/1065.csv,,,,,,Gas_CHX00F003FT0101_1065,,600,,TRUE,small
